name,county,coordinates,esti. pop.,nearest node one,nearest node 2,nearest node 3,distance 1,distance 2,distance 3
Skytech Solar-San Francisco Bay Area Solar Company,San Francisco,"(37.762886, -122.398292)",2165,"(37.780407, -122.397316)","(37.771179, -122.417631)","(37.779752, -122.393478)",2591.6235882488413,2437.1940432510764,2479.018334572127
City Forest Lodge & Catering,San Francisco,"(37.749465, -122.460987)",1283,"(37.727135, -122.450492)","(37.763049, -122.445744)","(37.760653, -122.436502)",3614.3241913252973,3398.699278959353,3595.4799416271953
Bloom International Relocations,San Francisco,"(37.725803, -122.38529)",1191,"(37.762886, -122.398292)","(37.728245, -122.432148)","(37.739068, -122.414947)",5157.453376835178,4646.345982156956,3501.660974313373
Little Apple Salon,San Francisco,"(37.721999, -122.462076)",2504,"(37.727135, -122.450492)","(37.749465, -122.460987)","(37.728245, -122.432148)",1760.7587102397874,3628.634918943818,3123.230588080568
Spark Arts,San Francisco,"(37.760653, -122.436502)",598,"(37.774491, -122.437967)","(37.763049, -122.445744)","(37.754265, -122.418352)",1868.6948777354498,1730.5734623454823,2345.6883474882125
Glass Plus Inc.,San Francisco,"(37.771179, -122.417631)",1583,"(37.780407, -122.397316)","(37.762886, -122.398292)","(37.754265, -122.418352)",2453.2137454936824,2455.2580432510763,2208.9155007448335
G Appliance Repair,San Francisco,"(37.781581, -122.452864)",2453,"(37.774491, -122.437967)","(37.776217, -122.451256)","(37.788321, -122.440793)",2121.4511193428602,797.7745804982969,1621.135350506141
Quick Start Intelligence,San Francisco,"(37.792565, -122.399394)",462,"(37.783964, -122.395231)","(37.780407, -122.397316)","(37.779752, -122.393478)",1259.1815614365607,2083.366404797548,2196.8951511208347
Excelsior Motors,San Francisco,"(37.728245, -122.432148)",2031,"(37.727135, -122.450492)","(37.721999, -122.462076)","(37.739068, -122.414947)",1956.7356018041437,3120.3975880805674,2204.0005890324137
"USF - The John Lo Schiavo, S.J. Center for Science and Innovation",San Francisco,"(37.776217, -122.451256)",1914,"(37.774491, -122.437967)","(37.781581, -122.452864)","(37.788321, -122.440793)",1604.5450172426533,804.058580498297,2084.8162484059335
Ubisoft,San Francisco,"(37.779752, -122.393478)",2430,"(37.783964, -122.395231)","(37.780407, -122.397316)","(37.792565, -122.399394)",760.9040465805676,1043.0928899415555,2051.164556026261
Martha & Bros Coffee Co.,San Francisco,"(37.739068, -122.414947)",589,"(37.725803, -122.38529)","(37.728245, -122.432148)","(37.754265, -122.418352)",3589.0049743133723,2207.2815890324136,2212.657146685373
Old West Western Wear,San Francisco,"(37.754265, -122.418352)",1532,"(37.760653, -122.436502)","(37.771179, -122.417631)","(37.739068, -122.414947)",2469.9678234080097,2049.4215007448333,2214.490146685373
Digital marketing tricks,San Francisco,"(37.788321, -122.440793)",2248,"(37.774491, -122.437967)","(37.781581, -122.452864)","(37.776217, -122.451256)",1792.493861620855,1604.6845060307603,2045.9402484059337
